VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-12-18 15:52:30,2019-12-18 15:54:39,N,1,264,264,5,.00,3.5,0.5,0.5,0.01,0,,0.3,4.81,1,1,0
2,2020-01-01 00:45:58,2020-01-01 00:56:39,N,5,66,65,2,1.28,20,0,0,4.06,0,,0.3,24.36,1,2,0
2,2020-01-01 00:41:38,2020-01-01 00:52:49,N,1,181,228,1,2.47,10.5,0.5,0.5,3.54,0,,0.3,15.34,1,1,0
1,2020-01-01 00:52:46,2020-01-01 01:14:21,N,1,129,263,2,6.30,21,3.25,0.5,0,0,,0.3,25.05,2,1,2.75
1,2020-01-01 00:19:57,2020-01-01 00:30:56,N,1,210,150,1,2.30,10,0.5,0.5,0,0,,0.3,11.3,1,1,0
1,2020-01-01 00:52:33,2020-01-01 01:09:54,N,1,35,39,1,3.00,13.5,0.5,0.5,0,0,,0.3,14.8,1,1,0
2,2020-01-01 00:10:18,2020-01-01 00:22:16,N,1,25,61,1,2.77,11,0.5,0.5,0,0,,0.3,12.3,2,1,0
2,2020-01-01 01:03:14,2020-01-01 01:29:45,N,1,225,89,1,4.98,20.5,0.5,0.5,0,0,,0.3,21.8,2,1,0
2,2020-01-01 00:04:11,2020-01-01 00:09:48,N,1,129,129,1,.71,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:25:52,2020-01-01 00:32:16,N,1,129,83,1,.80,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:47:32,2020-01-01 00:59:25,N,1,82,173,1,1.52,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
1,2020-01-01 00:26:40,2020-01-01 00:40:42,N,1,74,69,1,3.80,14,0.5,0.5,0,0,,0.3,15.3,2,1,0
2,2020-01-01 00:38:47,2020-01-01 00:46:02,N,1,74,41,1,1.12,6.5,0.5,0.5,0,0,,0.3,7.8,1,1,0
2,2020-01-01 00:52:18,2020-01-01 01:09:58,N,1,41,127,1,5.67,19,0.5,0.5,0,0,,0.3,20.3,2,1,0
2,2020-01-01 00:16:01,2020-01-01 00:26:40,N,1,7,260,1,1.86,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,2020-01-01 00:21:15,2020-01-01 00:28:03,N,1,7,7,1,1.42,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-01-01 00:35:42,2020-01-01 01:02:00,N,1,7,133,1,15.48,43,0.5,0.5,8.86,0,,0.3,53.16,1,1,0
2,2020-01-01 00:39:51,2020-01-01 00:42:54,N,1,134,28,1,1.15,5.5,0.5,0.5,1,0,,0.3,7.8,1,1,0
1,2020-01-01 00:00:21,2020-01-01 00:10:19,N,1,89,39,1,2.30,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
1,2020-01-01 00:13:59,2020-01-01 00:21:31,N,1,66,65,3,1.00,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
1,2020-01-01 00:05:13,2020-01-01 00:06:49,N,1,116,244,1,.40,3.5,0.5,0.5,0,0,,0.3,4.8,4,1,0
